location,date,sentiment_category,cnt,sentiment_rating
United States,3/19/2020,neutral,34269,3
United States,3/19/2020,positive,50641,4
United States,3/19/2020,very negative,9889,1
United States,3/19/2020,very positive,1111,5
United States,3/20/2020,negative,115498,2
United States,3/20/2020,neutral,38714,3
United States,3/20/2020,positive,58019,4
United States,3/20/2020,very negative,9169,1
United States,3/20/2020,very positive,1285,5
United States,3/21/2020,negative,82703,2
United States,3/21/2020,neutral,25518,3
United States,3/21/2020,positive,39670,4
United States,3/21/2020,very negative,7237,1
United States,3/21/2020,very positive,1208,5
United States,3/22/2020,negative,89030,2
United States,3/22/2020,neutral,28308,3
United States,3/22/2020,positive,43573,4
United States,3/22/2020,very negative,6796,1
United States,3/22/2020,very positive,1311,5
United States,3/23/2020,negative,99176,2
United States,3/23/2020,neutral,30628,3
United States,3/23/2020,positive,47428,4
United States,3/23/2020,very negative,7974,1
United States,3/23/2020,very positive,1254,5
United States,3/24/2020,negative,99547,2
United States,3/24/2020,neutral,33868,3
United States,3/24/2020,positive,53025,4
United States,3/24/2020,very negative,6838,1
United States,3/24/2020,very positive,1204,5
United States,3/25/2020,negative,108455,2
United States,3/25/2020,neutral,37465,3
United States,3/25/2020,positive,61024,4
United States,3/25/2020,very negative,7506,1
United States,3/25/2020,very positive,1353,5
United States,3/26/2020,negative,107786,2
United States,3/26/2020,neutral,36918,3
United States,3/26/2020,positive,61096,4
United States,3/26/2020,very negative,7298,1
United States,3/26/2020,very positive,1442,5
United States,3/27/2020,negative,109291,2
United States,3/27/2020,neutral,36613,3
United States,3/27/2020,positive,62180,4
United States,3/27/2020,very negative,7882,1
United States,3/27/2020,very positive,2016,5
United States,3/28/2020,negative,94137,2
United States,3/28/2020,neutral,32520,3
United States,3/28/2020,positive,53973,4
United States,3/28/2020,very negative,6693,1
United States,3/28/2020,very positive,1442,5
United States,3/29/2020,negative,88189,2
United States,3/29/2020,neutral,26139,3
United States,3/29/2020,positive,42256,4
United States,3/29/2020,very negative,6959,1
United States,3/29/2020,very positive,1341,5
United States,3/30/2020,negative,98572,2
United States,3/30/2020,neutral,29333,3
United States,3/30/2020,positive,48615,4
United States,3/30/2020,very negative,8188,1
United States,3/30/2020,very positive,1527,5
United States,3/31/2020,negative,104512,2
United States,3/31/2020,neutral,35392,3
United States,3/31/2020,positive,60930,4
United States,3/31/2020,very negative,7714,1
United States,3/31/2020,very positive,1770,5
United States,4/1/2020,negative,106330,2
United States,4/1/2020,neutral,35308,3
United States,4/1/2020,positive,59890,4
United States,4/1/2020,very negative,7478,1
United States,4/1/2020,very positive,1451,5
United States,4/2/2020,negative,107894,2
United States,4/2/2020,neutral,34898,3
United States,4/2/2020,positive,57786,4
United States,4/2/2020,very negative,8080,1
United States,4/2/2020,very positive,1500,5
United States,4/3/2020,negative,102007,2
United States,4/3/2020,neutral,34625,3
United States,4/3/2020,positive,56904,4
United States,4/3/2020,very negative,7653,1
United States,4/3/2020,very positive,1646,5
United States,4/4/2020,negative,94335,2
United States,4/4/2020,neutral,30460,3
United States,4/4/2020,positive,50158,4
United States,4/4/2020,very negative,7348,1
United States,4/4/2020,very positive,1355,5
United States,4/5/2020,negative,76357,2
United States,4/5/2020,neutral,22159,3
United States,4/5/2020,positive,34244,4
United States,4/5/2020,very negative,5931,1
United States,4/5/2020,very positive,1014,5
United States,4/6/2020,negative,93106,2
United States,4/6/2020,neutral,29007,3
United States,4/6/2020,positive,46188,4
United States,4/6/2020,very negative,6955,1
United States,4/6/2020,very positive,1260,5
United States,4/7/2020,negative,101093,2
United States,4/7/2020,neutral,34887,3
United States,4/7/2020,positive,60203,4
United States,4/7/2020,very negative,6923,1
United States,4/7/2020,very positive,1539,5
United States,4/8/2020,negative,103135,2
United States,4/8/2020,neutral,33022,3
United States,4/8/2020,positive,56941,4
United States,4/8/2020,very negative,7563,1
United States,4/8/2020,very positive,1707,5
United States,4/9/2020,negative,95267,2
United States,4/9/2020,neutral,32184,3
United States,4/9/2020,positive,54568,4
United States,4/9/2020,very negative,6886,1
United States,4/9/2020,very positive,1498,5
United States,4/10/2020,negative,90204,2
United States,4/10/2020,neutral,30378,3
United States,4/10/2020,positive,52738,4
United States,4/10/2020,very negative,6083,1
United States,4/10/2020,very positive,1701,5
United States,4/11/2020,negative,78373,2
United States,4/11/2020,neutral,25425,3
United States,4/11/2020,positive,42929,4
United States,4/11/2020,very negative,5898,1
United States,4/11/2020,very positive,1478,5
United States,4/12/2020,negative,65094,2
United States,4/12/2020,neutral,18555,3
United States,4/12/2020,positive,30495,4
United States,4/12/2020,very negative,4864,1
United States,4/12/2020,very positive,1151,5
United States,4/13/2020,negative,66573,2
United States,4/13/2020,neutral,20859,3
United States,4/13/2020,positive,33340,4
United States,4/13/2020,very negative,4621,1
United States,4/13/2020,very positive,1274,5
United States,4/14/2020,negative,85040,2
United States,4/14/2020,neutral,29380,3
United States,4/14/2020,positive,49320,4
United States,4/14/2020,very negative,5811,1
United States,4/14/2020,very positive,1345,5
United States,4/15/2020,negative,86902,2
United States,4/15/2020,neutral,28835,3
United States,4/15/2020,positive,49078,4
United States,4/15/2020,very negative,5643,1
United States,4/15/2020,very positive,1432,5
United States,4/16/2020,negative,92742,2
United States,4/16/2020,neutral,31504,3
United States,4/16/2020,positive,51859,4
United States,4/16/2020,very negative,6280,1
United States,4/16/2020,very positive,1518,5
United States,4/17/2020,negative,91529,2
United States,4/17/2020,neutral,30538,3
United States,4/17/2020,positive,52326,4
United States,4/17/2020,very negative,6073,1
United States,4/17/2020,very positive,1589,5
United States,4/18/2020,negative,87567,2
United States,4/18/2020,neutral,27983,3
United States,4/18/2020,positive,46915,4
United States,4/18/2020,very negative,6291,1
United States,4/18/2020,very positive,1586,5
United States,4/19/2020,negative,67039,2
United States,4/19/2020,neutral,20411,3
United States,4/19/2020,positive,32451,4
United States,4/19/2020,very negative,4850,1
United States,4/19/2020,very positive,1166,5
United States,4/20/2020,negative,66185,2
United States,4/20/2020,neutral,20129,3
United States,4/20/2020,positive,32888,4
United States,4/20/2020,very negative,4651,1
United States,4/20/2020,very positive,970,5
United States,4/21/2020,negative,81520,2
United States,4/21/2020,neutral,27367,3
United States,4/21/2020,positive,46087,4
United States,4/21/2020,very negative,5559,1
United States,4/21/2020,very positive,1294,5
United States,4/22/2020,negative,82689,2
United States,4/22/2020,neutral,27325,3
United States,4/22/2020,positive,46617,4
United States,4/22/2020,very negative,5265,1
United States,4/22/2020,very positive,1336,5
United States,4/23/2020,negative,84420,2
United States,4/23/2020,neutral,28319,3
United States,4/23/2020,positive,49298,4
United States,4/23/2020,very negative,5243,1
United States,4/23/2020,very positive,1613,5
United States,4/24/2020,negative,88439,2
United States,4/24/2020,neutral,30366,3
United States,4/24/2020,positive,50750,4
United States,4/24/2020,very negative,5716,1
United States,4/24/2020,very positive,1753,5
United States,4/25/2020,negative,71335,2
United States,4/25/2020,neutral,24178,3
United States,4/25/2020,positive,40696,4
United States,4/25/2020,very negative,4511,1
United States,4/25/2020,very positive,1496,5
United States,4/26/2020,negative,56976,2
United States,4/26/2020,neutral,17702,3
United States,4/26/2020,positive,26472,4
United States,4/26/2020,very negative,4089,1
United States,4/26/2020,very positive,965,5
United States,4/27/2020,negative,60779,2
United States,4/27/2020,neutral,20356,3
United States,4/27/2020,positive,32104,4
United States,4/27/2020,very negative,4373,1
United States,4/27/2020,very positive,944,5
United States,4/28/2020,negative,80864,2
United States,4/28/2020,neutral,26425,3
United States,4/28/2020,positive,44631,4
United States,4/28/2020,very negative,5343,1
United States,4/28/2020,very positive,1282,5
United States,4/29/2020,negative,79585,2
United States,4/29/2020,neutral,25755,3
United States,4/29/2020,positive,44385,4
United States,4/29/2020,very negative,5216,1
United States,4/29/2020,very positive,1351,5
United States,4/30/2020,negative,77427,2
United States,4/30/2020,neutral,25282,3
United States,4/30/2020,positive,45945,4
United States,4/30/2020,very negative,5532,1
United States,4/30/2020,very positive,1437,5
United States,5/1/2020,negative,77907,2
United States,5/1/2020,neutral,25587,3
United States,5/1/2020,positive,45990,4
United States,5/1/2020,very negative,5383,1
United States,5/1/2020,very positive,1644,5
United States,5/2/2020,negative,67545,2
United States,5/2/2020,neutral,21647,3
United States,5/2/2020,positive,38319,4
United States,5/2/2020,very negative,4812,1
United States,5/2/2020,very positive,1483,5
United States,5/3/2020,negative,55409,2
